Index,Coor Lat,Coor Long
1,18.016667,121.183333
2,20.4392,121.967583
3,20.782381,121.835858
4,20.338556,121.869108
5,19.262358,121.974578
6,18.892919,121.876572
7,18.970161,121.871636
8,17.385136,122.236239
9,17.119939,122.435292
10,16.190556,122.056364
12,14.700264,122.327114
13,14.756958,122.218414
14,14.764092,121.922464
15,13.461328,121.853406
16,13.533333,121.863889
17,13.349992,122.115031
18,13.525622,122.120728
19,13.512069,122.173106
20,13.498369,122.087575
11,13.652486,120.935931
24,12.440308,121.045708
23,12.330947,121.087761
22,13.234389,120.560722
26,13.822814,120.164894
25,13.890733,120.032511
60,12.578367,122.272608
61,12.578711,122.266425
176,0,0
66,12.938639,122.096331
63,12.3043,122.5973
62,12.33515,122.580142
65,12.055128,121.958186
67,12.912292,121.722308
68,12.783644,122.05485
45,11.171769,119.394814
46,9.042167,117.64095
47,10.535436,119.268242
48,10.792272,119.503017
49,11.151731,120.941089
50,10.5575,119.9905
51,7.984814,117.063506
52,9.5814,121.199406
53,10.838053,121.003975
56,11.881475,120.014864
57,11.491078,119.867206
69,13.230039,124.043511
70,13.191169,124.097969
72,13.923925,123.817908
73,13.914939,123.638939
74,13.584478,123.565939
71,13.839597,123.848517
101,12.564239,123.73775
80,13.131283,122.977642
95,11.911844,123.604944
96,11.958511,123.552494
100,12.024547,123.637939
99,11.891715,123.667603
97,11.812453,123.911417
98,11.856644,123.768742
81,13.065883,123.088433
82,12.949589,123.091333
83,13.001581,123.054317
84,12.7384,123.326586
85,12.698533,123.368022
86,12.732178,123.361575
94,14.021972,124.046242
91,13.624406,124.296556
92,13.596,124.267
93,13.87,124.302
88,13.757821,124.160078
89,13.653585,124.297475
90,13.653585,124.297475
87,13.596286,124.26726
105,11.92855,121.547619
102,11.4671,121.90755
104,12.097669,121.576558
103,10.391864,122.609375
106,11.614033,123.344744
108,9.516667,123.684419
111,10.112797,123.988703
113,9.942314,123.855364
115,9.492489,123.92345
118,10.154511,124.043653
112,10.070211,124.023294
107,10.055131,123.89985
109,10.014108,123.989014
110,9.987433,123.882306
114,10.068211,123.927139
116,9.9979,123.940581
117,10.024872,123.966986
122,10.62925,124.401881
123,9.123192,123.637792
120,11.079358,123.643492
121,11.343803,123.894544
124,10.807783,124.567942
128,11.780739,124.349611
129,9.947464,125.064819
131,12.673183,124.364661
132,12.423661,124.181203
133,12.403917,124.278947
134,12.276781,124.098361
130,12.648786,125.042331
135,11.904564,124.289342
136,11.925167,124.448886
137,12.046706,124.160578
138,11.645958,124.840847
139,0,0
140,11.925447,124.291417
141,11.945117,124.335594
142,11.923661,124.319336
143,11.948761,124.367639
149,11.885308,124.442978
147,11.893008,124.417772
148,11.904761,124.461883
150,11.9045,124.650561
144,11.80655,124.702275
145,11.817842,124.738931
146,11.824369,124.69475
153,6.938233,125.7173
152,5.416975,125.428503
154,6.571681,124.053697
155,6.465369,124.335844
156,6.219444,124.223056
157,10.041944,125.5925
158,10.368617,125.606567
159,9.871331,125.535678
151,6.987608,122.2517
160,6.697542,121.990783
161,6.704636,121.964503
165,5.0221,119.7693
166,5.028564,119.778436
168,5.075675,119.884336
164,6.987075,118.498436
167,4.803233,119.838644
173,4.923667,119.801933
169,4.846194,119.475667
171,4.707367,119.490297
170,4.679428,119.403236
172,5.160033,120.342061
162,6.054928,121.003147
163,5.544742,120.821397
174,0,0
175,0,0
27,13.370005,121.160443
28,13.369303,121.160359
29,13.01061,121.480226
30,12.866744,121.430757
31,13.056678,121.407134
32,12.764811,121.467124
33,12.591665,121.514797
34,13.370068,121.16051
35,13.389039,121.043479
36,13.416812,120.979708
37,9.768388,118.74684
38,9.244178,118.36717
39,9.850456,118.736214
40,9.801444,118.694033
41,8.847545,117.889788
42,9.44253,118.557667
43,9.23612,117.997301
44,10.319468,119.334236
54,12.050568,120.179513
55,12.131825,119.934063
64,12.416999,121.991892
75,12.349343,123.640788
76,12.491268,123.386589
77,11.970508,123.974012
78,12.03725,123.194293
79,11.966254,123.789001
119,11.183827,123.714243
126,9.224404,123.527479
127,9.130739,123.608281
125,11.330774,124.117172
58,8.53165,117.432239
59,11.007436,119.306093
21,nan,nan
